Bowler,Cluster,DPPI_Bowl
PADLR Sandakan,1,0.9445194574364931
Mohammad Sami,1,0.944177193980602
Abdur Razzak,1,0.9411478054774507
AC Evans,1,0.940380889419405
Arshdeep Singh,1,0.9393073017810953
TM Dilshan,1,0.9392192308347794
N Pokana,1,0.9388325846471063
MA Wood,1,0.937692465269369
FJ Klaassen,1,0.9375369978601522
SVE Bharathi,1,0.9372492010139711
Shahid Afridi,1,0.936638682894144
Karan KC,1,0.935875361976773
KJ O'Brien,1,0.9352949902057779
KD Mills,1,0.9338884387655021
T Muzarabani,1,0.9322917958859769
AF Milne,1,0.9304483205227636
NM Coulter-Nile,1,0.9291226518692655
N Madziva,1,0.9288424259906798
C Rububagumya,1,0.9265529790053397
LM Jongwe,1,0.9255927643775322
S Lamichhane,1,0.9250986089771628
Shoriful Islam,1,0.9222063064919326
Ahsan Malik,1,0.9189062627233577
MRJ Watt,1,0.9182429636831759
DP Nannes,1,0.9175348786494668
BA Stokes,1,0.9169660389182711
Shapoor Zadran,1,0.9156265986747414
Sahir Naqash,1,0.9147714186931929
KMA Paul,1,0.9144129870604867
I Udana,1,0.9136822693683336
L Ngidi,1,0.9136151806262433
YS Chahal,1,0.912913514910439
Usman Shinwari,1,0.9124993705087461
RA Jadeja,1,0.9110315158508717
CAK Rajitha,1,0.9105966110401285
D Wiese,1,0.9100456710637037
R Shepherd,1,0.9090208999893215
Waqas Ahmad,1,0.908563452090162
Yasir Ali,1,0.9083211475739653
JP Faulkner,1,0.9076759930275786
D Maisuria,1,0.9046731194663672
Haroon Arshad,1,0.9036334426210442
Ahmed Raza,1,0.9021311885356452
SO Ngoche,1,0.9012528147000013
H Lakov,1,0.8990610763403475
IS Sodhi,1,0.8988464842505844
Amjad Mahboob,1,0.896051985883859
Saber Zakhil,1,0.894378271258121
Atif Mehmood,1,0.8934804036510218
HV Patel,1,0.893403719198882
JN Frylinck,1,0.8931450757762012
S Muniandy,1,0.8898206960530588
Kashif Daud,1,0.8879824196517173
SA Ahmad,1,0.8869945266773295
D Paterson,1,0.8853531480546476
PWH de Silva,1,0.8850201213753977
SP Narine,1,0.8848958022627395
S Wickramasekara,1,0.8812807335815915
WB Rankin,1,0.880332156282732
V Vijh,1,0.8783928614752643
Z Bimenyimana,1,0.8772002155690983
BAW Mendis,1,0.8769765239908629
Ali Nayyer,1,0.8762954696227816
Ehsan Khan,1,0.8749698404067423
Fareed Ahmad,1,0.8740868933079389
Tejwinder Singh,1,0.8736573161441425
Ghulam Ahmadi,1,0.8713957960411731
RJ Sidebottom,1,0.8713230260579105
Al-Amin Hossain,1,0.8698975175601139
D Heyliger,1,0.8689885795522849
T Panyangara,1,0.8687770970829438
KJ Abbott,1,0.8686521219718255
Rizwan Butt,1,0.8684750069927154
M Theekshana,1,0.8666260699725608
DMW Rawlins,1,0.8660566498116005
C Viljoen,1,0.8647398135868518
MD Shanaka,1,0.8646835528001175
MD Shanaka,1,0.864365841609976
DAJ Bracewell,1,0.8639124460136431
LN Oluoch,1,0.8627985603727815
CA Soper,1,0.860254859066067
R Ashwin,1,0.8590840437020855
HH Pandya,1,0.8585672670583196
AM Kimote,1,0.8583334528460904
S Veerapathiran,1,0.8581397809410571
RR Patel,1,0.8570426358752823
DT Tiripano,1,0.8567154425360286
Hamid Hassan,1,0.8559749575213913
A Nortje,1,0.8547257982772944
Bilal Muhammad,1,0.8537066881429174
Haseeb Amjad,1,0.8530359500128173
Sarfaraz Ali,1,0.8508972607924523
A Zampa,1,0.8490183500218944
Shafiul Islam,1,0.848560172534189
KM Jarvis,1,0.8483528559638149
Junaid Siddique,1,0.8481471924465342
Khawar Ali,1,0.8475770975479573
C Campher,1,0.8473012997181474
Naveen-ul-Haq,1,0.8459868342220792
CH Morris,1,0.8453572002782939
IO Okpe,1,0.8448063549467641
Vinay Ravi,1,0.8446738889212607
JC Archer,1,0.8443473130425985
SJ Benn,1,0.8434282480748684
VP Thamotharam,1,0.8431333966030787
JA Richardson,1,0.842342377250559
Aamir Kaleem,1,0.842293060785049
Bilal Hassun,1,0.8420985509008203
MP Stoinis,1,0.8415313382382156
GJ Delany,1,0.8414119833288218
DJ Willey,1,0.8412200653258123
J Miyaji,1,0.8386589544653871
Naseem Shah,1,0.8370987636452866
Mudassar Bukhari,1,0.8369373277963316
Mohammad Wasim,1,0.8361882629786314
J Theron,1,0.8354371966876889
TS Mills,1,0.8345931579615515
HV Mandhyan,1,0.8330881476830367
DL Chahar,1,0.8313134904186372
Mohammad Naveed,1,0.8307077675791752
AR McBrine,1,0.8302710946724524
A Ashokan,1,0.8301808589108677
DA Blignaut,1,0.8295668927763105
OF Smith,1,0.8280509999117974
RJW Topley,1,0.8274436834674689
N Pokana,1,0.8236638625594236
Yasir Ali,1,0.8234548519016032
Zeeshan Kukikhel,1,0.8220319751546241
MB Tambe,1,0.8209434012226231
NL McCullum,1,0.8205116499174274
LN Oluoch,1,0.8201304609706026
Shiraz Khan,1,0.8196102668536972
AC Agar,1,0.8193430292064521
L Balaji,1,0.8168688966187756
M Muralitharan,1,0.8151513829225248
DJ Mitchell,1,0.8147371508524186
CJA Amini,1,0.8125243683633052
LV van Beek,1,0.8110480363770569
Gayan Munaweera,1,0.8103401820252363
JEC Franklin,1,0.8096181707994442
E Otieno,1,0.8092646831480116
AU Rashid,1,0.8086476055909423
A Nehra,1,0.8084590878654042
Faheem Ashraf,1,0.8076383581991159
P Mishra,1,0.8061372991948662
Izatullah Dawlatzai,1,0.806106808440388
SA Ahmad,1,0.8045633897747715
Usman Shinwari,1,0.8044003840903319
SC Williams,1,0.8028139849189124
NR Johns-Wickberg,1,0.801074309416513
V Saini,1,0.801074309416513
M de Lange,1,0.8010299412047936
D Pretorius,1,0.7997286189781763
Sikandar Raza,1,0.7989937857132436
MJ McClenaghan,1,0.7981447457772791
K Waiswa,1,0.7961373619539122
Mohammed Shami,1,0.7960362776752923
Sayed Monib,1,0.7927547518277245
Muhammad Wafiq,1,0.7875671709460621
Hasan Mahmud,1,0.7874872884119886
SN Thakur,1,0.7872819571404415
N Madziva,1,0.785689494652052
NN Odhiambo,1,0.7852591366152507
N Nipiko,1,0.7847618212267611
JA Morkel,1,0.7844964068205265
Z Khan,1,0.7840049488457013
Sami Ullah,1,0.7836718006762261
KS Leverock,1,0.7823726572945935
Fitri Sham,1,0.7813189442323832
A Venkatesh,1,0.7791707550978088
T Shamsi,1,0.7784350964350667
BFW de Leede,1,0.7781444449282239
Sompal Kami,1,0.77811395854183
AR Ramjani,1,0.7778637753013523
DMW Rawlins,1,0.7769802758727371
SA Jumbe,1,0.7742471337237427
RP Singh,1,0.7733213684446193
G Bakiweyem,1,0.7730250514758767
NW Bracken,1,0.7721447015301556
P Useni,1,0.7719869432820665
Fayyaz Butt,1,0.771778212606724
Kaleem Sana,1,0.7714382611236326
KK Ahmed,1,0.7693671596664966
R Vinay Kumar,1,0.7692852856537336
Junaid Khan,1,0.7688465786021266
I Takahashi,1,0.7685520889262987
BFW de Leede,1,0.7665001798199812
PM Seelaar,1,0.766259337273149
Raja Adeel,1,0.7644035911075548
ST Finn,1,0.7626142429063165
JDP Oram,1,0.7625681892045472
KV Morea,1,0.7608973426811348
AS Joseph,1,0.760529703068815
KAJ Roach,1,0.7603184599688586
RE van der Merwe,1,0.7594513492453291
Jitin Singh,1,0.7579454072852373
SK Raina,1,0.7574766112200881
S Conteh,1,0.7571514850127797
L Karlsson,1,0.7561169405701111
Zeeshan Maqsood,1,0.7550851899209285
PKD Chase,1,0.7547934809906067
KV Morea,1,0.7535773896193945
SW Tait,1,0.7519987813717379
Saud Munir,1,0.7512257408851453
Mohammad Kamran,1,0.74902320577389
MC Sorensen,1,0.7485843360668221
RJ Gleeson,1,0.7457856465559985
G Sesay,1,0.7437999812738902
LH Ferguson,1,0.7429523458630112
JJ Huo,1,0.7421373902275815
HR Walsh,1,0.7408030898092557
CK Langeveldt,1,0.7324730588178587
Shadab Khan,1,0.7321670063036707
DR Hooper,1,0.7315524558842883
C Kyewuta,1,0.731443645379445
Noman Amjad,1,0.7305834095545245
D Paterson,1,0.7299272821832219
BP Adapaka,1,0.7268918673655622
S Thakor,1,0.7261739833980786
JJ van der Wath,1,0.7251562366691328
RM Haq,1,0.7249597004781927
SHA Rance,1,0.7246909128061965
TJ Murtagh,1,0.7225776865140617
Zeeshan Kukikhel,1,0.7223494967721836
BA Stokes,1,0.7218475967099258
DJG Sammy,1,0.7216883972502193
WJ Cope,1,0.7213693517793593
Atif Kamal,1,0.721233461879833
RS Bopara,1,0.7175630993751552
SN Netravalkar,1,0.7168956457564621
Imran Anwar,1,0.7143073772806338
K Fletcher,1,0.7141190205534824
B Lee,1,0.7138582689841595
Aaron Jones,1,0.7135167096085726
J Sumerauer,1,0.7115576421369728
CBRLS Kumara,1,0.7105026150913464
Najjam Shahzad,1,0.7100039073116488
B Fernando,1,0.7099073933994735
Khizar Hayat,1,0.7095534768887504
E Jabarkhel,1,0.7094090419062561
Faheem Nazir,1,0.7090630873674391
PK Matautaava,1,0.7086355193198448
HJ Manenti,1,0.7070553196923081
Sami Sohail,1,0.7069063554378613
JD Unadkat,1,0.7048409744166537
Fazil Rahman,1,0.7044054587730044
S Snater,1,0.7038598622584232
Iqbal Hussain,1,0.7030740629635782
M Syahadat Ramli,1,0.7002255931522743
HAM Shah,1,0.6999917345368425
Harbhajan Singh,1,0.6987534492195091
Waqas Ahmad,1,0.698564141174014
LE Plunkett,1,0.6968340158962205
HV Mandhyan,1,0.6957126685933588
Gulbadin Naib,1,0.6944124315665441
NM Odhiambo,1,0.6932886398322899
D Madushanka,1,0.6929684437750612
NK Patel,1,0.6924118560457908
NT Ellis,1,0.6894845947395309
A Vala,1,0.6881659284171805
V Zimonjic,1,0.6873348916673236
W Peatfield,1,0.6868807871915168
SM Tupou,1,0.6837748081625705
W Kokaua,1,0.682457105877243
BG Lister,1,0.6817483839052747
Mohammad Irfan,1,0.6813675870293525
RK Kleinveldt,1,0.6799454450966849
ST Jayasuriya,1,0.6786419708703473
D Ravu,1,0.6779928481128866
HS Baidwan,1,0.6768299506425004
Azmatullah Omarzai,1,0.676381811345488
CO Obuya,1,0.6745679989066589
B Stanlake,1,0.6730219576043168
A Bishnoi,1,0.6711092229996938
Muslim Yar,1,0.6687134767514851
EJB Miles,1,0.66755469566004
HA Chohan,1,0.667220036736725
