Bowler,Cluster,DPPI_Bowl
PA van Meekeren,1,0.8223817831643165
F Nsubuga,1,0.8201215072057035
Usman Qadir,1,0.8197616815142181
MA Starc,1,0.8189986927080579
Faheem Ashraf,1,0.8182053275649941
N Vanua,1,0.8168911545244484
R Hekure,1,0.8168727760961028
Rohan Mustafa,1,0.8145940679027677
KJ O'Brien,1,0.8141823121995131
Sheraz Sheikh,1,0.8131612288416815
KMA Paul,1,0.8127995924620883
CPPM Sadun,1,0.811814150694731
SC Getkate,1,0.8117723999014601
Mohammed Nadeem,1,0.8108020652188098
DL Vettori,1,0.8104149783686379
R Bakum,1,0.8094587066444467
Washington Sundar,1,0.8087421016116074
RS Bopara,1,0.8046664258869941
Imran Tahir,1,0.803910707772512
Vraj Patel,1,0.8019239748364348
Mosaddek Hossain,1,0.8010102763135332
AR McBrine,1,0.8008468838553056
RG Aga,1,0.7991232562311918
Gulbadin Naib,1,0.7978702544864684
C de Grandhomme,1,0.7976849569717166
JEC Franklin,1,0.7971664257897768
NK Aneesh Kumar,1,0.7969127446293036
Taskin Ahmed,1,0.7967536349251032
Nasum Ahmed,1,0.7952220037877463
SP Narine,1,0.7950077956466582
ST Jayasuriya,1,0.7931437730020048
Yasir Ali,1,0.7930671492965491
Mohammad Nawaz (3),1,0.7930529542267776
MR Marsh,1,0.7923113561289588
M Morkel,1,0.791347306833514
Mohammed Nadeem,1,0.7909493027055203
JC Tredwell,1,0.7908644286320845
Ihsanullah,1,0.7896209441324046
Amir Hamza,1,0.7885497441802223
GD Phillips,1,0.788078444484144
Mahedi Hasan,1,0.7866529174484946
PP Ojha,1,0.7853528361992771
Imran Ameer,1,0.7834660842384178
CA Young,1,0.7830199465783412
M Theekshana,1,0.7825789746790616
JN Frylinck,1,0.7823148194880226
Ehsan Khan,1,0.7820877816526026
OH Agbomadzie,1,0.781997562167821
OC McCoy,1,0.781976012459062
F Akankwasa,1,0.7804542239034358
CH Gayle,1,0.7797141895790226
B Ward,1,0.7791833083949551
Ghulam Ahmadi,1,0.7791553667998898
D Wiese,1,0.7761017779777271
JDF Vandersay,1,0.7752475068661604
Abdur Razzak,1,0.7750612678484994
MR Adair,1,0.7741128070609749
Nadeem Ahmed,1,0.7732906861975357
LJ Wright,1,0.773250054750654
RR Patel,1,0.7705584114899924
KW Richardson,1,0.7704474262881954
MNM Aslam,1,0.7703547080893653
LA Burns,1,0.7703343541861305
Hasan Ali,1,0.7699059441500756
Sirajullah Khadim,1,0.7695401494189141
Mehedi Hasan Miraz,1,0.7695064472001628
SR Thompson,1,0.7690232313985179
AJ Tye,1,0.7681885556514738
P Malav,1,0.7678400755138173
C Rumistrzewicz,1,0.7678182250886973
Taranjeet Singh,1,0.7665563880388381
MG Johnson,1,0.7655762734167844
H Carlyon,1,0.7636859265807953
Sarfaraz Ali,1,0.7624785208033276
PJ Cummins,1,0.7622631468436813
Imran Anwar,1,0.7620028710063258
Yuvraj Singh,1,0.7614822757197273
N Vanua,1,0.7598136836500744
BFW de Leede,1,0.7591553030723079
Riazat Ali Shah,1,0.7590474073662878
B Stanlake,1,0.7590064514544481
Asad Ali Rehemtulla,1,0.7561440885917552
SM Curran,1,0.7559878808809148
KOK Williams,1,0.7557822414511541
Shoriful Islam,1,0.7546451143132993
Shapoor Zadran,1,0.7535935997318884
DM Nakrani,1,0.7529094357528742
DJ Hussey,1,0.7526886730615112
JB Reva,1,0.7524441313087112
AR Puri,1,0.7524423294916436
DS Airee,1,0.752361209305245
Aftab Hussain,1,0.7520453106551324
Naveed Ahmed,1,0.751002260326126
Yasir Ali,1,0.7507139614835028
Sohel Patel,1,0.750605799457571
S Shrivastava,1,0.7502370062777592
MC Sorensen,1,0.750052981169892
Aamir Kaleem,1,0.749774855978683
Yasim Murtaza,1,0.7491660939794842
NS Dhaliwal,1,0.7478024659046446
Saad Bin Zafar,1,0.7475047572124471
V Saini,1,0.746806334161928
Khizar Hayat,1,0.7465171485318303
Shiraz Khan,1,0.7454208607850781
MJ Swepson,1,0.7452152238356864
TJG Pringle,1,0.7450603858510358
DJ Turkich,1,0.7433277290671916
DAS Gunaratne,1,0.7429021674622451
Raza Iqbal,1,0.7423731224749627
S Thakor,1,0.7419847501072436
Hamza Tahir,1,0.7414268778654409
V Baskaran,1,0.7409373095899359
NR Johns-Wickberg,1,0.7405712949866584
PF Gallagher,1,0.7405182420493271
D Ravu,1,0.7404753456949267
JH Kallis,1,0.7397344449835744
YM Nkanya,1,0.7394663199765623
MV Pavlovic,1,0.7391048526906323
PWA Mulder,1,0.7389957134066948
M Akayezu,1,0.7387630423361818
CR Woakes,1,0.7366946833472713
D Pretorius,1,0.7359680805734227
SB Styris,1,0.7354447555116864
A Kheterpal,1,0.7349872180152641
SL Malinga,1,0.7348660149840887
AF Milne,1,0.734530833484141
Harbhajan Singh,1,0.7337121233328487
Umar Gul,1,0.7336926803077852
VP Thamotharam,1,0.7332285066993677
YK Pathan,1,0.7314912732409786
R Shepherd,1,0.7309501029596158
Huzaifa Mohammed,1,0.7306455363860909
W Madhevere,1,0.7305099940853707
Sahir Naqash,1,0.7293701826710867
FA Cossa,1,0.7286143573307486
Zahoor Khan,1,0.7280161370266505
Rubel Hossain,1,0.7247325164354603
JDP Oram,1,0.7239182338797455
Wahab Riaz,1,0.7236509020452688
LE Plunkett,1,0.7203330603545347
Omar Hayat,1,0.7202699427716173
Fayyaz Butt,1,0.7200940970778384
B Regmi,1,0.7198605233484263
SPD Smith,1,0.7197836579698041
Irfan Hafejee,1,0.7174735877369922
NK Patel,1,0.7171417215856086
RM Haq,1,0.7162498814297898
CO Obuya,1,0.7151780288243936
D Muhumuza,1,0.71421163197056
D Maisuria,1,0.7129339110537739
Saud Munir,1,0.7117875940844345
MJG Rippon,1,0.7096704212177002
AM Phangiso,1,0.708597175438238
Karan KC,1,0.7081735823362004
DT Christian,1,0.7066175641315691
J Perman,1,0.7060383459401898
W Nalisa,1,0.7059641220895506
SK Raina,1,0.7056664624176032
Aftab Kayani,1,0.7054438695970386
A Vala,1,0.7037833597170053
KP Meiyappan,1,0.7037108378181423
Karim Sadiq,1,0.7013554223437874
N Dutta,1,0.6986820341148521
Shahab Alam,1,0.698349510731712
AL Phehlukwayo,1,0.6982865805447078
A Nortje,1,0.6980676352230848
MD Shanaka,1,0.6977018752026781
P Taylor,1,0.6944505031238277
DMW Rawlins,1,0.6943405611529003
Abdul Majid,1,0.6942915243162625
MJ Swepson,1,0.6915184257870277
MG Erasmus,1,0.690554678302515
CH Morris,1,0.688835683671789
F Stoman,1,0.6857329266939456
R Ravindra,1,0.6855930121961273
CBRLS Kumara,1,0.6820314484920944
Zaker Taqawi,1,0.6818885220106808
DT Johnston,1,0.6815401172548301
Virandeep Singh,1,0.6808988158488909
P Florin,1,0.6802637610708661
AR Cusack,1,0.6801340960973913
SK Awiah,1,0.6800467016086118
Mohammad Saifuddin,1,0.6786145086263883
RJ Trott,1,0.6785710058611815
A Krishna,1,0.6770810440170253
PD Collingwood,1,0.6766241292845541
AG Weligamage,1,0.6762173288033355
Zain Ul Abidin,1,0.676025432107906
MA Wood,1,0.6754988028628928
Anwar Rahman,1,0.6743955460787906
Mujeeb Ur Rahman,1,0.6738188260997087
S Randiv,1,0.6736312651324605
Afif Hossain,1,0.6733145205521365
AR Ramjani,1,0.6712419515656545
N Nipiko,1,0.671148285244249
CJ Boyce,1,0.6700615201934466
