Bowler,Match Phase,Innings,Wkt,Dot balls,4s,6s,Runs Conceded,No of Balls,BA,SR,BBI,ECON,BWI,SPI,DBP,BP,BWI_normalized,DBP_normalized,BP_normalized,Econ_normalized,BA_log,SR_log,SPI_log,BBI_log,Cluster
A Mansale,DEATH,1,1,1,1,0,20,12,20.0,12.0,12.0,10.0,0,1.0,8.333333333333332,8.333333333333332,-0.722620504445314,-2.2687687383607984,-0.6824318227283758,0.9822368006685306,3.044522437723423,2.5649493574615367,0.6931471805599453,2.5649493574615367,0
A Mansale,DEATH,2,1,6,1,0,17,18,17.0,18.0,9.0,5.666666666666666,0,0.5,33.33333333333333,5.555555555555555,-0.722620504445314,-0.5121962467380706,-0.9990961845366634,-0.6684058199200072,2.8903717578961645,2.9444389791664403,0.4054651081081644,2.302585092994046,0
A Martel,DEATH,2,2,3,0,0,3,6,1.5,3.0,3.0,3.0,0,1.0,50.0,0.0,-0.722620504445314,0.6588520810104153,-1.6324249081532387,-1.6841858941283379,0.9162907318741551,1.3862943611198906,0.6931471805599453,1.3862943611198906,0
A Mene-Ejegi,DEATH,1,4,10,5,1,54,36,13.5,9.0,36.0,9.0,1,0.0,27.77777777777778,16.666666666666664,1.3836222061859889,-0.9025456893208987,0.26756126269648717,0.6013192728404065,2.6741486494265287,2.302585092994046,0.0,3.6109179126442243,1
A Nanda,DEATH,1,1,4,2,2,26,12,26.0,12.0,12.0,13.0,0,1.0,33.33333333333333,33.33333333333333,-0.722620504445314,-0.5121962467380706,2.1675474335462126,2.1249893841529026,3.295836866004329,2.5649493574615367,0.6931471805599453,2.5649493574615367,0
A Nao,DEATH,1,2,7,4,1,47,30,23.5,15.0,30.0,9.4,0,2.0,23.33333333333333,16.666666666666664,-0.722620504445314,-1.214825243387162,0.26756126269648717,0.7536862839716563,3.1986731175506815,2.772588722239781,1.0986122886681096,3.4339872044851463,0
A Natubhai Ahir,DEATH,1,2,9,1,1,29,30,14.5,15.0,30.0,5.8,0,2.0,30.0,6.666666666666667,-0.722620504445314,-0.7464059122877674,-0.8724304398133482,-0.6176168162095906,2.740840023925201,2.772588722239781,1.0986122886681096,3.4339872044851463,0
A Ndlovu,DEATH,1,1,4,0,0,8,12,8.0,12.0,12.0,4.0,0,1.0,33.33333333333333,0.0,-0.722620504445314,-0.5121962467380706,-1.6324249081532387,-1.3032683663002138,2.1972245773362196,2.5649493574615367,0.6931471805599453,2.5649493574615367,0
A Nehra,DEATH,1,11,22,12,4,120,78,10.909090909090908,7.090909090909091,78.0,9.230769230769232,1,0.0,28.205128205128204,20.51282051282051,1.3836222061859889,-0.8725188091222198,0.7060196098156548,0.6892233177238202,2.477302050402781,2.0907410969337694,0.0,4.3694478524670215,1
A Nehra,DEATH,2,8,21,11,4,134,90,16.75,11.25,45.0,8.933333333333334,1,7.0,23.33333333333333,16.666666666666664,1.3836222061859889,-1.214825243387162,0.26756126269648717,0.5759247709851983,2.8763855159214247,2.505525936990736,2.0794415416798357,3.828641396489095,1
A Neill,DEATH,1,4,8,2,1,30,24,7.5,6.0,24.0,7.5,1,0.0,33.33333333333333,12.5,1.3836222061859889,-0.5121962467380706,-0.2074352800159441,0.0299429810982204,2.1400661634962708,1.9459101490553132,0.0,3.2188758248682006,1
A Neill,DEATH,2,2,5,1,2,21,12,10.5,6.0,6.0,10.5,0,1.0,41.66666666666667,25.0,-0.722620504445314,0.07332791713617277,1.2175543481213504,1.1726955645825927,2.4423470353692043,1.9459101490553132,0.6931471805599453,1.9459101490553132,0
A Nortje,DEATH,1,13,32,10,6,145,98,11.153846153846152,7.538461538461538,98.0,8.877551020408163,1,0.0,32.6530612244898,16.3265306122449,1.3836222061859889,-0.5599941376665799,0.22878603471996242,0.5546763102492074,2.4976456755654297,2.144580843850797,0.0,4.59511985013459,1
A Nortje,DEATH,2,6,28,9,3,92,75,15.333333333333334,12.5,37.5,7.359999999999999,1,5.0,37.333333333333336,16.0,1.3836222061859889,-0.23114464807843363,0.19156181586249837,-0.02338547279771719,2.793208009442517,2.6026896854443837,1.791759469228055,3.6506582412937387,1
A Orfila,DEATH,1,2,4,2,3,42,18,21.0,9.0,18.0,14.0,0,2.0,22.22222222222222,27.77777777777778,-0.722620504445314,-1.2928951319037274,1.5342187099296383,2.5059069119810267,3.091042453358316,2.302585092994046,1.0986122886681096,2.9444389791664403,0
A Prashar,DEATH,2,1,4,1,1,18,12,18.0,12.0,6.0,9.0,0,0.5,33.33333333333333,16.666666666666664,-0.722620504445314,-0.5121962467380706,0.26756126269648717,0.6013192728404065,2.9444389791664403,2.5649493574615367,0.4054651081081644,1.9459101490553132,0
A Pusthay,DEATH,2,1,3,0,0,4,6,4.0,6.0,3.0,4.0,0,0.5,50.0,0.0,-0.722620504445314,0.6588520810104153,-1.6324249081532387,-1.3032683663002138,1.6094379124341003,1.9459101490553132,0.4054651081081644,1.3862943611198906,0
A Rangaswamy,DEATH,1,4,12,1,2,23,23,5.75,5.75,23.0,6.0,1,0.0,52.17391304347826,13.043478260869565,1.3836222061859889,0.8115975150645653,-0.14547920922736615,-0.5414333106439657,1.9095425048844383,1.9095425048844383,0.0,3.1780538303479458,1
A Rangaswamy,DEATH,2,2,10,0,0,5,12,2.5,6.0,6.0,2.5,0,1.0,83.33333333333334,0.0,-0.722620504445314,3.000948736507387,-1.6324249081532387,-1.8746446580423999,1.252762968495368,1.9459101490553132,0.6931471805599453,1.9459101490553132,0
